Date,Inverter,Energy,
1/28/2022,2,7768.4,
1/29/2022,2,5636.1,
1/30/2022,2,8934.8,
1/31/2022,2,3662.6,
2/1/2022,2,9798.2,
2/2/2022,2,9734.2,
2/3/2022,2,8904.5,
2/4/2022,2,9802.7,
2/5/2022,2,8408.8,
2/6/2022,2,9802.9,
2/7/2022,2,9826.2,
2/8/2022,2,9604.9,
2/9/2022,2,8622.1,
2/10/2022,2,9740.4,
2/11/2022,2,9653.0,
2/12/2022,2,9869.2,
2/13/2022,2,9837.7,
2/14/2022,2,8647.8,
2/15/2022,2,7702.3,
2/16/2022,2,11231.5,
2/17/2022,2,9981.5,
2/18/2022,2,2168.2,
2/19/2022,2,2160.5,
2/20/2022,2,587.7,
2/21/2022,2,2270.8,
2/22/2022,2,3752.9,
2/23/2022,2,12162.9,
2/24/2022,2,4195.5,
2/25/2022,2,8663.9,
2/26/2022,2,1325.5,
2/27/2022,2,4526.0,
2/28/2022,2,12082.8,
3/1/2022,2,9868.0,
3/2/2022,2,10234.7,
3/3/2022,2,5064.8,
3/4/2022,2,4469.1,
3/5/2022,2,7933.4,
3/6/2022,2,11042.9,
3/7/2022,2,12691.3,
3/8/2022,2,12955.2,
3/9/2022,2,11743.9,
3/10/2022,2,12621.4,
3/11/2022,2,13464.6,
3/12/2022,2,13239.7,
3/13/2022,2,10903.0,
3/14/2022,2,13384.5,
3/15/2022,2,6533.1,
3/16/2022,2,13716.5,
3/17/2022,2,7116.7,
3/18/2022,2,12632.6,
3/19/2022,2,2833.2,
3/20/2022,2,2502.2,
3/21/2022,2,8690.7,
3/22/2022,2,13676.9,
3/23/2022,2,12351.1,
3/24/2022,2,13702.8,
3/25/2022,2,11437.9,
3/26/2022,2,13302.8,
3/27/2022,2,11993.1,
3/28/2022,2,5081.2,
3/29/2022,2,8507.1,
3/30/2022,2,11537.7,
3/31/2022,2,12567.6,
4/1/2022,2,14050.5,
4/2/2022,2,13272.1,
4/3/2022,2,12566.8,
4/4/2022,2,12441.2,
4/5/2022,2,14977.9,
4/6/2022,2,14798.3,
4/7/2022,2,14114.7,
4/8/2022,2,14492.1,
4/9/2022,2,15157.2,
4/10/2022,2,14543.3,
4/11/2022,2,9631.5,
4/12/2022,2,4526.7,
4/13/2022,2,9671.5,
4/14/2022,2,13271.7,
4/15/2022,2,12612.8,
4/16/2022,2,10567.1,
